Total time elapsed: 0.0093	Time updating: 0.0000	Time rendering: 0.0027	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0049	Time updating: 0.0000	Time rendering: 0.0117	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0137	Time updating: 0.0000	Time rendering: 0.0026	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0047	Time updating: 0.0000	Time rendering: 0.0030	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0052	Time updating: 0.0000	Time rendering: 0.0038	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0068	Time updating: 0.0000	Time rendering: 0.0033	Time Sleeping: 0.0023	FPS: 49
Total time elapsed: 0.0066	Time updating: 0.0000	Time rendering: 0.0070	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0093	Time updating: 0.0000	Time rendering: 0.0031	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0056	Time updating: 0.0000	Time rendering: 0.0071	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0092	Time updating: 0.0000	Time rendering: 0.0029	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0080	Time updating: 0.0000	Time rendering: 0.0075	Time Sleeping: 0.0013	FPS: 49
Total time elapsed: 0.0096	Time updating: 0.0000	Time rendering: 0.0027	Time Sleeping: 0.0035	FPS: 49
Total time elapsed: 0.0072	Time updating: 0.0000	Time rendering: 0.0086	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0107	Time updating: 0.0000	Time rendering: 0.0025	Time Sleeping: 0.0026	FPS: 49
Total time elapsed: 0.0073	Time updating: 0.0000	Time rendering: 0.0065	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0087	Time updating: 0.0000	Time rendering: 0.0033	Time Sleeping: 0.0066	FPS: 49
Total time elapsed: 0.0108	Time updating: 0.0000	Time rendering: 0.0080	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0160	Time updating: 0.0000	Time rendering: 0.0078	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0101	Time updating: 0.0000	Time rendering: 0.0082	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0103	Time updating: 0.0000	Time rendering: 0.0051	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0074	Time updating: 0.0000	Time rendering: 0.0085	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0129	Time updating: 0.0000	Time rendering: 0.0121	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0165	Time updating: 0.0000	Time rendering: 0.0119	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0143	Time updating: 0.0000	Time rendering: 0.0045	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0067	Time updating: 0.0001	Time rendering: 0.0086	Time Sleeping: 0.0030	FPS: 49
Total time elapsed: 0.0139	Time updating: 0.0000	Time rendering: 0.0145	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0171	Time updating: 0.0000	Time rendering: 0.0113	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0134	Time updating: 0.0000	Time rendering: 0.0023	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0043	Time updating: 0.0000	Time rendering: 0.0033	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0064	Time updating: 0.0000	Time rendering: 0.0109	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0134	Time updating: 0.0000	Time rendering: 0.0039	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0069	Time updating: 0.0000	Time rendering: 0.0049	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0072	Time updating: 0.0000	Time rendering: 0.0027	Time Sleeping: 0.0011	FPS: 49
Total time elapsed: 0.0129	Time updating: 0.0000	Time rendering: 0.0032	Time Sleeping: 0.0012	FPS: 49
Total time elapsed: 0.0053	Time updating: 0.0000	Time rendering: 0.0087	Time Sleeping: 0.0014	FPS: 49
Total time elapsed: 0.0110	Time updating: 0.0000	Time rendering: 0.0030	Time Sleeping: 0.0012	FPS: 49
